Longitude,Latitude,Type,Name,Street,City,State,Zip_Code,Score
-95.376214,29.752518,Best Burgers,Christian's Tailgate Bar & Grill,2000 Bagby St,Houston,TX,77002,5
-95.398561,29.803277,Best Burgers,Becks Prime,115 W 19th St,Houston,TX,77008,5
-71.804872,42.26551,Verizon Locations,Verizon 15 Chestnut St,15 Chestnut St,Worcester,MA,1609,10
-71.200085,42.486234,Verizon Locations,Verizon 51 S Bedford St,51 S Bedford St,Burlington,MA,1803,10
-71.3244925,42.6147171,Verizon Locations,Verizon 900 Chelmsford St,900 Chelmsford St,Lowell,MA,1851,10
-71.1581594,42.5874153,Verizon Locations,Verizon 200 Ballardvale ST,200 Ballardvale ST,Wilmington,MA,1887,10
-71.0530768,42.3552909,Verizon Locations,Verizon 125 High St - High Tower,125 High St - High Tower,Boston,MA,2110,10
-71.0733678,42.2994631,Verizon Locations,Verizon 6 Bowdoin Sq,6 Bowdoin Sq,Boston,MA,2121,10
-71.2732565,42.394503,Verizon Locations,Verizon 50-60 Sylvan Rd,50-60 Sylvan Rd,Waltham,MA,2451,10
-71.13505,41.954417,Verizon Locations,Verizon 385 Myles Standish Blvd,385 Myles Standish Blvd,Taunton,MA,2780,10
-72.8009675,41.479327,Verizon Locations,Verizon 20 Alexander DR,20 Alexander DR,Wallingford,CT,6492,10
-74.5718612,40.6530848,Verizon Locations,Verizon 30 Independence Blvd,30 Independence Blvd,Warren,NJ,7059,10
-74.3193419,40.2390713,Verizon Locations,Verizon 999 W Main St,999 W Main St,Freehold,NJ,7728,10
-74.5333389,40.7250243,Verizon Locations,Verizon One Verizon WAY,One Verizon WAY,Basking Ridge,NJ,7920,10
-74.634952,40.6444059,Verizon Locations,Verizon 180 Washington Valley Rd,180 Washington Valley Rd,Bedminster,NJ,7921,10
-74.4772849,40.7709098,Verizon Locations,Verizon 100 Southgate Pkwy,100 Southgate Pkwy,Morristown,NJ,7960,10
-74.4953301,40.5449301,Verizon Locations,Verizon 201 Centennial AVE,201 Centennial AVE,Piscataway,NJ,8854,10
-74.0129973,40.7138034,Verizon Locations,Verizon 140 West St,140 West St,New York,NY,10007,10
-73.975441,40.747432,Verizon Locations,Verizon 221 E 37Th St,221 E 37Th St,New York,NY,10016,10
-73.7810693,41.1006785,Verizon Locations,Verizon 500 Summit Lake Dr,500 Summit Lake Dr,Valhalla,NY,10595,10
-73.770873,41.032452,Verizon Locations,Verizon 111 Main St,111 Main St,White Plains,NY,10601,10
-73.9898524,41.0400227,Verizon Locations,Verizon 2000 Corporate Dr,2000 Corporate Dr,Orangeburg,NY,10962,10
-74.0469952,41.1094588,Verizon Locations,Verizon 239 W Rte 59,239 W Rte 59,Spring Valley,NY,10977,10
-73.6047292,40.7404371,Verizon Locations,Verizon 741 Zeckendorf Blvd,741 Zeckendorf Blvd,Garden City,NY,11530,10
-73.6286338,40.7083715,Verizon Locations,Verizon 199 Fulton Ave,199 Fulton Ave,Hempstead,NY,11550,10
-76.0866343,43.078345,Verizon Locations,Verizon 6360 Thompson Rd,6360 Thompson Rd,Syracuse,NY,13206,10
-77.6420318,43.0665157,Verizon Locations,Verizon 133 Calkins Rd,133 Calkins Rd,Rochester,NY,14623,10
-80.098236,40.6643169,Verizon Locations,Verizon 300 Allegheny DR,300 Allegheny DR,Warrendale,PA,15086,10
-75.88121,41.2455252,Verizon Locations,Verizon 60 Public SQ,60 Public SQ,Wilkes Barre,PA,18701,10
-74.9810591,40.1220653,Verizon Locations,Verizon 8 Neshaminy Interplex,8 Neshaminy Interplex,Trevose,PA,19053,10
-75.169387,39.9554045,Verizon Locations,Verizon 1717 Arch ST,1717 Arch ST,Philadelphia,PA,19103,10
-77.4709363,39.0105011,Verizon Locations,Verizon 22001 Loudoun County PKWY,22001 Loudoun County PKWY,Ashburn,VA,20147,10
-76.890229,39.161063,Verizon Locations,Verizon 7600 Montpelier Rd,7600 Montpelier Rd,Laurel,MD,20723,10
-76.9583232,39.0709752,Verizon Locations,Verizon 13100 Columbia Pike,13100 Columbia Pike,Silver Spring,MD,20904,10
-76.6519325,39.4945391,Verizon Locations,Verizon 99 Shawan Rd,99 Shawan Rd,Cockeysville,MD,21030,10
-77.52094,37.624795,Verizon Locations,Verizon 3011 Hungary Spring Rd,3011 Hungary Spring Rd,Richmond,VA,23228,10
-78.789056,35.8312669,Verizon Locations,Verizon 6400 Weston Pkwy,6400 Weston Pkwy,Cary,NC,27513,10
-80.732037,35.136355,Verizon Locations,Verizon 10100 Sardis Crossing DR,10100 Sardis Crossing DR,Charlotte,NC,28270,10
